ID;Name;Träger;Ort;Kreis;Adresse;Telefon;E-Mail;Website;Geschäftsführung;GF-Quelle;Einrichtungsleitung;EL-Quelle;Facebook;Instagram;LinkedIn;YouTube;Social Media (alle);Newsletter;Qualität;Quellen/Hinweise
18759;AWO Seniorenzentrum Kennedypark;AWO GESA GmbH;Aachen;Städteregion Aachen;Elsassstraße 78 - 80, 52068 Aachen;0241 94939-0;sz-kennedypark@awo-mittelrhein.de;https://www.awo-sz-kennedypark.de/home/;Sabine von Homeyer, Boris Hammerschmitt;impressum:awo-sz-kennedypark.de;Nicht ermittelt;none;https://facebook.com/gesa.awo;;https://linkedin.com/company/awo-mittelrhein-gesa-gmbh;;facebook: https://facebook.com/gesa.awo | linkedin: https://linkedin.com/company/awo-mittelrhein-gesa-gmbh;;complete;tel:api | mail:api | addr:api
22392;Alten- und Pflegeheim Haus Margarete;Vinzentinerinnen e.V;Aachen;Städteregion Aachen;Altstr. 16-32, 52066 Aachen;0241-97780;haus-margarete-aachen@vinzentinerinnen.de;https://www.vinzentinerinnen.de;Patrick Weiss;impressum:https://vinzentinerinnen.de/impressum-datenschutz/;Daniel Krückel;api:ansprechpartner;;;;;xing: https://xing.com/companies/vinzentinerinnenkölngmbh;;complete;tel:api | mail:api | addr:api
13079;Altenheim St. Elisabeth ACD Aachener Caritasdienste gGmbH;;Aachen;Städteregion Aachen;Welkenrather Straße 69-71, 52074 Aachen;+49 241 87918-0;info@acd-aachen.de;https://acd-aachen.de/pflegefachassistenz/;Ralf Kaup, Alexander Letzel;websearch-impressum:https://www.st-elisabeth-ac.de/impressum/;Nicht ermittelt;none;;;;;;;complete;tel:web(mistral) | mail:web(mistral) | addr:api
7609;Altenzentrum Papst-Johannes-Stift, ACD Aachener Caritasdienste GmbH;;Aachen;Städteregion Aachen;Trautnerstrasse 4, 52066 Aachen;0241-608390;info@pjs-aachen.de;https://www.pjs-aachen.de;Ralf Kaup, Alexander Letzel;impressum:https://www.pjs-aachen.de/impressum/;Frau Andrea Ruffert;api:ansprechpartner;;;;;;;complete;tel:api | mail:api | addr:api
2909;CMS Pflegewohnstift Laurensberg;Alloheim Senioren-Residenzen SE;Aachen;Städteregion Aachen;Schurzelter Str. 28, 52074 Aachen;024156810;cms-laurensberg@cms-verbund.de;https://www.cms-verbund.de;Dr. Steffen Hehner, Carolin Behrendt, Petra Groth, Dr. Christian Mayer, Christoph Mosler, Thomas Rietz, Philipp Schuh;impressum:https://www.cms-verbund.de/impressum;Herr Jörg Maaßen;api:ansprechpartner;https://facebook.com/CMSVerbund;;;;facebook: https://facebook.com/CMSVerbund;;complete;tel:api | mail:api | addr:api
673;Haus Aurelius;;Aachen;Städteregion Aachen;Aureliusstr 35-43, 52064 Aachen;0241/47035912;aachen@heinrichs-gruppe.de;https://www.heinrichs-gruppe.de;Karin Heinrichs, Johannes Heinrichs, Til Heinrichs, Anna-Lena Damm;impressum:https://www.heinrichs-gruppe.de/impressum/;Venice Freh;api:ansprechpartner;https://facebook.com/HeinrichsGruppe;;;;facebook: https://facebook.com/HeinrichsGruppe;;complete;tel:api | mail:api | addr:api
680;Haus Cadenbach / Ein Zuhause im Alter;CBG Aachen GmbH;Aachen;Städteregion Aachen;Weberstr 10, 52064 Aachen;0241/4142465;ezia@luisenhospital.de;https://www.haus-cadenbach.de;Christiane Schröder;impressum:haus-cadenbach.de;Frau Nadine Stieler;api:ansprechpartner;https://facebook.com/luisenhospital.aachen;;;;facebook: https://facebook.com/luisenhospital.aachen;;complete;tel:api | mail:api | addr:api
8502;Haus Hörn ILP/Intensive Langzeitpflege;Haus Hörn gGmbH;Aachen;Städteregion Aachen;Johannes-von-den-Driesch-Weg 4, 52074 Aachen;0241/99781-0;j.curth@haus-hoern.de;https://www.haus-hoern.de;Manfred Vieweg;impressum:https://www.haus-hoern.de/impressum/;Frau Jeannette Curth;api:ansprechpartner;;;;;;;complete;tel:api | mail:api | addr:api
707;Haus Hörn Seniorenhaus;Haus Hörn gGmbH;Aachen;Städteregion Aachen;Johannes-von-den-Driesch-Weg 4, 52074 Aachen;0241/99781-155;a.gross@haus-hoern.de;https://www.haus-hoern.de;Manfred Vieweg;impressum:https://www.haus-hoern.de/impressum/;Frau Alina Groß;api:ansprechpartner;;;;;;;complete;tel:api | mail:api | addr:api
22399;Haus Margarete Kurzzeitpflege;Vinzentinerinnen e.V;Aachen;Städteregion Aachen;Altstr. 16-32, 52066 Aachen;0241-97780;haus-margarete-aachen@vinzentinerinnen.de;https://www.vinzentinerinnen.de;Patrick Weiss;impressum:https://vinzentinerinnen.de/impressum-datenschutz/;Daniel Krückel;api:ansprechpartner;;;;;xing: https://xing.com/companies/vinzentinerinnenkölngmbh;;complete;tel:api | mail:api | addr:api
22380;Haus Marien-Linde.;;Aachen;Städteregion Aachen;Eifelstraße 27, 52068 Aachen;02419003130;sozialdienst@marien-linde.de;https://www.marien-linde.de;Nicht ermittelt;none;Frau Ening;api:ansprechpartner;;;;;;;complete;tel:api | mail:api | addr:api
487;Haus St. Raphael;;Aachen;Städteregion Aachen;Strüverweg 3a, 52070 Aachen;0241/18282-0;matthias.bonnie@deutscher-orden.de;https://www.altenheime-aachen.de;St. Mariens, Rechts. Provinzial, Christoph Kehr;impressum:https://www.altenheime-aachen.de/impressum;Herr Matthias Bonnie;api:ansprechpartner;https://facebook.com/Ordenswerke;;https://de.linkedin.com/company/deutscherorden;https://youtube.com/channel/UCYZesDr0V4rcf6XNjW94A_Q/featured;facebook: https://facebook.com/Ordenswerke | linkedin: https://de.linkedin.com/company/deutscherorden | youtube: https://youtube.com/channel/UCYZesDr0V4rcf6XNjW94A_Q/featured;;complete;tel:api | mail:api | addr:api
26789;Haus St. Raphael - Solitäre Kurzzeitpflege;;Aachen;Städteregion Aachen;Strüverweg 3a, 52070 Aachen;0241-18282-0;matthias.bonnie@deutscher-orden.de;https://www.altenheime-aachen.de;St. Mariens, Rechts. Provinzial, Christoph Kehr;impressum:https://www.altenheime-aachen.de/impressum;Matthias Bonnie;api:ansprechpartner;https://facebook.com/Ordenswerke;;https://de.linkedin.com/company/deutscherorden;https://youtube.com/channel/UCYZesDr0V4rcf6XNjW94A_Q/featured;facebook: https://facebook.com/Ordenswerke | linkedin: https://de.linkedin.com/company/deutscherorden | youtube: https://youtube.com/channel/UCYZesDr0V4rcf6XNjW94A_Q/featured;;complete;tel:api | mail:api | addr:api
2714;Itertalklinik Seniorenzentrum Kornelimünster;Alloheim Senioren-Residenzen SE;Aachen;Städteregion Aachen;Münsterstraße 30, 52076 Aachen;02408-14588-26;i.hofmann@itertalklinik-seniorenzentrum.de;https://www.itertalklinik-seniorenzentrum.de;Dr. Steffen Hehner, Carolin Behrendt, Petra Groth, Dr. Christian Mayer, Christoph Mosler, Thomas Rietz, Philipp Schuh;impressum:https://www.itertalklinik-seniorenzentrum.de/impressum;Ingrid Hofmann;api:ansprechpartner;https://facebook.com/itertalklinik;;;;facebook: https://facebook.com/itertalklinik;;complete;tel:api | mail:api | addr:api
2713;Itertalklinik Seniorenzentrum Walheim;Alloheim Senioren-Residenzen SE;Aachen;Städteregion Aachen;Auf der Kier 9 B, 52076 Aachen;02408- 9650 141;e.cziesla@itertalklinik-seniorenzentrum.de;https://www.itertalklinik-seniorenzentrum.de;Dr. Steffen Hehner, Carolin Behrendt, Petra Groth, Dr. Christian Mayer, Christoph Mosler, Thomas Rietz, Philipp Schuh;impressum:https://www.itertalklinik-seniorenzentrum.de/impressum;Elke Cziesla;api:ansprechpartner;https://facebook.com/itertalklinik;;;;facebook: https://facebook.com/itertalklinik;;complete;tel:api | mail:api | addr:api
2483;Katholische Stiftung Seniorenhaus St. Laurentius Aachen-Laurensberg;;Aachen;Städteregion Aachen;Laurentiusstr 38-40, 52072 Aachen;0241-95122028;kontakt@seniorenhaus-st-laurentius.de;https://www.Seniorenhaus-St-laurentius.de;Nicht ermittelt;none;Frau Stella Moras;api:ansprechpartner;;;;;;;complete;tel:api | mail:api | addr:api
2665;Klosterstift Radermecher;;Aachen;Städteregion Aachen;Hasselholzer Weg 51, 52074 Aachen;0241/510060;info@klosterstift-radermecher.de;https://www.klosterstift-radermecher.de;Ralf Kaup, Alexander Letzel;impressum:https://www.klosterstift-radermecher.de/impressum/;Frau Yvonne Kersgens;api:ansprechpartner;;;;;;;complete;tel:api | mail:api | addr:api
2780;Margarethe-Eichholz-Heim;;Aachen;Städteregion Aachen;Wichernstr. 2-3, 52064 Aachen;0241-75083300;m.kilic@meh-aachen.de;https://www.meh-aachen.de;Muhammet Kilic;impressum:https://www.meh-aachen.de/impressum/;Herr Muhammet Kilic;api:ansprechpartner;https://facebook.com/MagaretheEichholzHeimAachen;;;;facebook: https://facebook.com/MagaretheEichholzHeimAachen;;complete;tel:api | mail:api | addr:api
160;Pflegeheim Marienheim;;Aachen;Städteregion Aachen;Rollefstr 4, 52078 Aachen;024141361012;bkrumbach@marienheim-ac.de;https://www.marienheim-ac.de;Thomas Gäde, Dr. Stephanie Kirsch;websearch-impressum:https://www.sh-marienheim.de/impressum/;Birgit Krumbach;api:ansprechpartner;https://facebook.com/MarienheimAachenBrand;;;;facebook: https://facebook.com/MarienheimAachenBrand;;complete;tel:api | mail:api | addr:api
21908;"SENIOREN-RESIDENZ ""bona-fide"" GmbH";;Aachen;Städteregion Aachen;Steinkaulstr. 54, 52070 Aachen;02419424662;p.wouters@senioren-residenz-bona-fide.de;https://www.senioren-residenz-bona-fide.de;Uli Fuss;impressum:https://senioren-residenz-bona-fide.de/impressum/;Frau Petra Wouters;api:ansprechpartner;;;;;;;complete;tel:api | mail:api | addr:api
6832;Senioren-Park carpe diem Aachen;;Aachen;Städteregion Aachen;Robensstr. 19, 52070 Aachen;0241-51541-0;aachen@senioren-park.de;https://www.senioren-park.de;Jan C. Schreiter, Thomas Goetz, Martin Niggehoff, Ewa Woroch;impressum:https://www.senioren-park.de/Impressum#Datenschutz;Nicht ermittelt;none;https://facebook.com/SPcarpediem;;;;facebook: https://facebook.com/SPcarpediem;;complete;tel:api | mail:api | addr:api
21627;Seniorenzentrum Franziskuskloster-Lindenplatz;;Aachen;Städteregion Aachen;Paulusstr. 10, 52064 Aachen;0241-4789 164;sandra.breuer@schervier-altenhilfe.de;https://www.schervier-altenhilfe.de/;Dr. Klaus Herzberg;impressum:https://schervier-altenhilfe.de/component/content/article/impressum.html?catid=2:uncategorised&Itemid=129;Sandra Breuer;api:ansprechpartner;;;;;;;complete;tel:api | mail:api | addr:api
188;Seniorenzentrum Heilig Geist;SKM Katholischer Verein für Soziale Dienste in Aachen e.V;Aachen;Städteregion Aachen;Heinrichsallee 56, 52062 Aachen;0241-41355-701;veronique.nyabyenda@skm-aachen.de;https://www.skm-aachen.de;Dr. Liane Schirra-Weirich, Dr. Christof Stock, Knops Für;impressum:https://www.skm-aachen.de/impressum/;Frau Veronique Nyabyenda;api:ansprechpartner;https://fb.me/SKMAachen;;;https://youtube.com/@skmaachene.v.9679/featured;facebook: https://fb.me/SKMAachen | youtube: https://youtube.com/@skmaachene.v.9679/featured;;complete;tel:api | mail:api | addr:api
21629;Seniorenzentrum Lourdesheim;;Aachen;Städteregion Aachen;1. Rote Haag Weg 34, 52076 Aachen;0241-6005234;wehnert@schervier-altenhilfe.de;https://www.schervier-altenhilfe.de;Dr. Klaus Herzberg;impressum:https://schervier-altenhilfe.de/component/content/article/impressum.html?catid=2:uncategorised&Itemid=129;Anna Wehnert;api:ansprechpartner;;;;;;;complete;tel:api | mail:api | addr:api
