Datum;Quelle (Domain);Titel;Kategorie;Grund;Link
2026-05-28;diakonie-kreis-mettmann.de;Danke, Ina Platz – mehr als 40 Jahre bei der Diakonie;Personalie;Verabschiedung einer langjährigen Mitarbeiterin;https://www.diakonie-kreis-mettmann.de/danke-ina-platz-mehr-als-40-jahre-bei-der-diakonie/
2026-05-28;antoniushaus-lh.de;Neuer Internetauftritt der Franziskanerinnen;Neues Angebot;Eröffnung eines neuen Internetauftritts mit neuen Inhalten und Angeboten.;https://antoniushaus-lh.de/2026/05/28/neuer-internetauftritt-der-franziskanerinnen/
2026-05-28;awo-dortmund.de;Angehörigengesprächskreis in der Tagespflege Holzheck in Eving am 1. Juni;Veranstaltung;Einladung zu einem neuen Gesprächskreis für Angehörige;https://awo-dortmund.de/angehoerigengespraechskreis-in-der-tagespflege-holzheck-in-eving-am-1-juni/
2026-05-28;ahfr.de;Neuer Hirsch bereichert das Damwildgehege;Neues Angebot;Erwähnung eines neuen Anschaffungsprojekts (Hirsch) für das Heim.;https://www.ahfr.de/neuer-hirsch-bereichert-das-damwildgehege/
2026-05-28;johannisstift.de;Sechs Azubis erfolgreich verabschiedet;Personalie;Erfolgreiche Verabschiedung von Auszubildenden;https://www.johannisstift.de/blog/sechs-azubis-erfolgreich-verabschiedet/
2026-05-28;caritas-geldern.de;Mehr als 120 Ehrenamtliche feiern gemeinsam im Klostergarten – Caritas sagt „Danke“ zum Ehrentag;Veranstaltung;Bericht über eine spezifische Veranstaltung (Ehrentag) mit Ehrenamtlichen.;https://www.caritas-geldern.de/verband/presse/presse/mehr-als-120-ehrenamtliche-feiern-gemeinsam-im-klostergarten--caritas-sagt-danke-zum-ehrentag-c1337d
2026-05-28;caritas-herten.de;Ehrenamt kennt keine Altersgrenze und hält zudem jung - Maria und Theresia Steiert feiern ihren 90. Geburtstag im Kardinal-von-Galen-Haus;Personalie;Feier des 90. Geburtstages von Ehrenamtlichen;https://www.caritas-herten.de/caritas-und-kirche/pressemitteilungen/ehrenamt-kennt-keine-altersgrenze-und-haelt-zudem-jung-maria-und-theresia-steiert-feiern-ihren-90.-g
2026-05-28;diakonis.de;Herberge zur Heimat erhält Photovoltaikanlage und spart zukünftig Strom;Projekt;Erneuerbare Energien und Energieeffizienz-Initiative;https://diakonis.de/aktuelles/detail/herberge-zur-heimat-erhaelt-photovoltaikanlage-und-spart-zukuenftig-strom
2026-05-27;ravensberger-residenz.de;Mutter- und Vatertag;Veranstaltung;Bericht über eine konkrete Aktion für Bewohner;https://ravensberger-residenz.de/mutter-und-vatertag/
2026-05-27;kkimk.de;Pflegekräfte für Intensivstation (m/w/d);Stellenanzeige;Stellenausschreibung (regelbasiert erkannt);https://kkimk.de/blog/2026/05/27/pflegekraefte-fuer-intensivstation-m-w-d/
